,bert_umap_0,bert_umap_1,bert_umap_2,bert_umap_3,bert_umap_4,summary_umap_0,summary_umap_1,summary_umap_2,summary_umap_3,summary_umap_4
107,-1.3593229,6.982076,5.5878944,3.9032893,6.178333,8.421766,7.4012337,3.0398233,4.427299,2.4793048
108,-1.1809235,7.407614,4.899192,3.3879595,6.0020967,7.8062816,7.153842,2.8858232,4.5204854,2.4170728
109,-0.40344116,5.2349973,7.2977877,4.2555175,6.267089,9.173655,6.495845,3.399058,5.2948074,3.0154397
110,-0.09441967,5.483939,7.4023604,3.5421612,6.6522946,7.7789946,7.5858717,3.2362683,4.466788,3.1877506
111,0.0007529747,5.48779,7.468747,3.5214274,6.5287285,8.625004,7.254639,2.3539813,4.6133385,1.9691212
112,-0.9052428,6.4766674,6.5221915,4.095967,6.159793,10.918756,6.585306,3.097759,3.8204932,2.8513427
113,-1.1392154,6.8400273,5.7884784,3.8699327,6.098972,7.8799515,7.121074,2.9454591,4.433783,2.4722388
114,-1.750403,7.7812266,4.924749,3.5483208,5.9498553,6.9972672,7.1336975,3.9238925,4.605797,3.1500797
115,-0.5167423,6.693474,6.4077315,4.2765265,5.986123,6.5832725,7.368594,4.5167627,4.125184,4.061118
116,0.011673128,6.2667127,7.688002,3.5620968,5.597347,7.6012645,7.13076,3.0980055,3.938543,3.2172644
117,-0.3370148,8.153319,3.750871,3.2772014,4.643615,7.202442,6.960212,3.7412171,4.401664,2.9229548
118,-0.48773763,6.388868,6.6533365,3.643171,6.3783436,7.7707176,6.778376,3.4976418,4.900468,2.0190856
119,-1.2076409,6.915143,5.722983,3.4637244,5.9111137,6.768544,7.025029,3.937055,4.8446097,2.8785772
120,-1.3224577,6.205407,6.351097,4.136879,6.3423414,7.1595564,7.036116,4.1703606,4.4576807,2.843843
121,-1.2867892,7.0339885,5.8334455,2.4496186,5.044558,7.2934504,6.775074,3.7715998,4.823343,2.645254
122,-0.037025787,6.2738175,7.6421537,3.3713312,5.4087167,11.22261,6.1275196,2.722858,3.494661,2.8206365
123,-2.159505,7.5090413,5.0823164,3.7097473,6.590368,7.823779,6.6837387,3.983205,3.7277424,4.0953665
124,-2.9313014,9.812196,4.6523867,3.0307484,5.2845755,6.4298224,7.0170994,4.380282,4.3865304,3.4675012
125,0.19958848,6.3070016,8.039566,4.795599,5.823494,8.868234,5.951889,3.2064087,5.675384,3.210793
126,-0.129417,5.9916263,7.4291534,4.6309347,5.9107876,8.828405,6.0246778,3.2683969,5.620286,3.0625863
127,0.18756254,6.469287,7.9623947,4.863374,5.7995086,9.647692,5.536264,3.5878165,5.146165,3.439966
128,-1.9193286,7.218151,5.4473763,3.8820758,6.3363647,8.1921425,7.2703047,2.4139967,4.693016,1.8252215
129,-2.97804,9.90834,4.726211,3.0462532,5.522559,7.333635,6.7475843,3.9278166,4.7261515,3.0971415
130,1.7989357,4.568859,9.220535,3.7607586,6.467166,8.0398655,7.0128245,2.8065968,4.65185,2.0483286
131,-1.3929036,7.13374,5.724558,2.40012,4.95031,7.760883,6.506138,3.6217833,4.7191653,2.155129
132,-1.588449,6.8734612,4.8549004,3.6628942,6.285069,7.184088,6.917849,4.5266147,3.6001775,3.932207
133,-1.4202826,6.360438,6.350233,4.4776435,6.204026,8.580628,7.3152623,2.4013147,4.5763116,1.8854184
134,-1.378447,6.313716,6.373901,4.4800234,6.2094016,7.929802,6.883769,3.2413006,4.5954256,2.4667795
135,-1.9655762,7.3149524,4.8537765,3.4701653,6.1208725,6.908551,7.01544,4.6989017,4.042996,3.9320593
136,-0.034474835,6.384847,2.9735084,3.755564,4.413782,7.9817886,8.387135,2.3303123,3.42912,5.514015
